PSP:ON_PROT_INTERACT,count
STING(INDUCES),10
SHIP(INDUCES),10
VAPB(INDUCES),10
SMAD3(INDUCES),10
BRAF(DISRUPTS),10
PIK3CA(INDUCES),10
SOS1(INDUCES),10
STAT5A(INDUCES),10
GRB2(DISRUPTS),10
PTP1B(INDUCES),10
Syk(INDUCES),10
CDK4(DISRUPTS),10
Vimentin(DISRUPTS),10
HRas(DISRUPTS),9
SH2D1B(NOT_REPORTED),9
ER-alpha(DISRUPTS),9
4E-BP1(DISRUPTS),9
MOB1A(INDUCES),9
RXRA(DISRUPTS),9
PIK3C3(INDUCES),9
S100B(INDUCES),9
LATS1(DISRUPTS),9
JNK1(INDUCES),9
FLNA(DISRUPTS),9
MCM3(DISRUPTS),9
PIK3R2(INDUCES),9
HDAC1(DISRUPTS),9
PIK3C2A(INDUCES),9
SMC3(DISRUPTS),9
TRAF2(INDUCES),9
CDK4(INDUCES),9
HSP70(INDUCES),8
PSMA3(DISRUPTS),8
LATS1(INDUCES),8
YAP1(INDUCES),8
talin 1(DISRUPTS),8
KPNA4(DISRUPTS),8
beclin 1(INDUCES),8
HDAC3(INDUCES),8
LC3B(DISRUPTS),8
p300(DISRUPTS),8
TRAF6(INDUCES),8
tensin 1 iso1(INDUCES),8
Pnk1(INDUCES),8
ERK1(INDUCES),8
14-3-3 zeta(DISRUPTS),8
TUBG1(INDUCES),8
CDC42(INDUCES),8
CCND1(INDUCES),8
SIN3A(INDUCES),8
EIF4E(DISRUPTS),8
axin 1(INDUCES),8
VAV2(INDUCES),8
Btk(INDUCES),8
KPNB1(INDUCES),8
LC3A(INDUCES),8
CYBA(INDUCES),8
Bcl-2(DISRUPTS),8
RAD1(INDUCES),8
CALCOCO2(INDUCES),8
WRN(INDUCES),8
FBXO31(INDUCES),8
CHIP(DISRUPTS),7
PKCD(INDUCES),7
S100A6(INDUCES),7
claspin(INDUCES),7
PPP2CA(DISRUPTS),7
RNF4(INDUCES),7
S100A2(INDUCES),7
INCENP(DISRUPTS),7
talin 1(INDUCES),7
TNNC1(DISRUPTS),7
SOCS3(INDUCES),7
PCNA(DISRUPTS),7
KPNA2(DISRUPTS),7
ECT2(INDUCES),7
TACE(INDUCES),7
CTBP1(DISRUPTS),7
BRCA2(INDUCES),7
S100A4(INDUCES),7
TUBA1A(INDUCES),7
PXN(INDUCES),7
ERK2(DISRUPTS),7
AurA(INDUCES),7
CDC42(DISRUPTS),7
4E-T(INDUCES),7
GAPDH(INDUCES),7
CTNNA1(INDUCES),7
PACS-1(INDUCES),7
INSR(DISRUPTS),7
Vimentin(INDUCES),7
beclin 1(DISRUPTS),7
CDK9(INDUCES),7
PIH1D1(INDUCES),7
ubiquitin(INDUCES),7
HEC1(INDUCES),7
STAT2(DISRUPTS),7
SIN3A(DISRUPTS),7
PPP1CA(DISRUPTS),7
Arg(NOT_REPORTED),7
KPNA1(DISRUPTS),7
E2F1(INDUCES),7
CDH1(INDUCES),7
TDP-43(DISRUPTS),7
S100A1(INDUCES),7
CDK6(INDUCES),6
IRS1(INDUCES),6
axin 1(DISRUPTS),6
G-alpha(s)(INDUCES),6
SUFU(INDUCES),6
SUFU(DISRUPTS),6
BTRC(DISRUPTS),6
DAB1(INDUCES),6
RHOA(INDUCES),6
ARPC2(INDUCES),6
RACK1(DISRUPTS),6
EGFR(DISRUPTS),6
HSC70(INDUCES),6
GLE1(INDUCES),6
HDAC4(INDUCES),6
L3MBTL iso4(INDUCES),6
BAX(DISRUPTS),6
KSR(INDUCES),6
Rb(DISRUPTS),6
MAVS(INDUCES),6
IRF7(INDUCES),6
ARF1(INDUCES),6
CK2A1(INDUCES),6
FANCD2(INDUCES),6
PPP1CC(DISRUPTS),6
CBLL1(INDUCES),6
HSC70(DISRUPTS),6
P130Cas(INDUCES),6
H3(DISRUPTS),6
SMRT(DISRUPTS),6
PTEN(DISRUPTS),6
POLR2A(INDUCES),6
TUBA1A(DISRUPTS),6
AGO2(INDUCES),6
lamin A/C(DISRUPTS),6
CK2B(INDUCES),6
SMRT(INDUCES),6
DRP1(INDUCES),6
MRF(INDUCES),6
RPA1(INDUCES),6
ROCK2(INDUCES),6
Src(DISRUPTS),6
Chk2(INDUCES),6
NDR1(INDUCES),6
mTOR(INDUCES),6
S100A2(DISRUPTS),6
KPNA1(INDUCES),6
S100B(DISRUPTS),6
IRS2(INDUCES),6
ITGB3(INDUCES),6
SH2D1A(INDUCES),6
N-WASP(INDUCES),6
PXN(DISRUPTS),6
SNCA(DISRUPTS),6
PARP1(INDUCES),6
MLKL(INDUCES),6
ZO1(DISRUPTS),6
TUBB(DISRUPTS),6
RB1CC1(DISRUPTS),6
TBK1(INDUCES),6
PKM(INDUCES),6
ubiquitin(DISRUPTS),5
APS(INDUCES),5
Myc(INDUCES),5
BRD8(INDUCES),5
DOK1(INDUCES),5
PIAS1(INDUCES),5
PKACA(INDUCES),5
MST2(INDUCES),5
PAXIP1(INDUCES),5
TRAF2(DISRUPTS),5
ASK1(INDUCES),5
Ku80(INDUCES),5
PTPN2(INDUCES),5
Rhodopsin(INDUCES),5
JAK2(INDUCES),5
SPOP(INDUCES),5
ACTN1(INDUCES),5
occludin(DISRUPTS),5
MST1(DISRUPTS),5
SMN(INDUCES),5
GH receptor(DISRUPTS),5
Snail1(INDUCES),5
VAV3(INDUCES),5
ARHGEF7(INDUCES),5
LATS2(INDUCES),5
ITGA5(INDUCES),5
SPOP(DISRUPTS),5
HP1 alpha(INDUCES),5
ATG13(DISRUPTS),5
G-alpha(q)(INDUCES),5
NIPP-1(INDUCES),5
CUL9(INDUCES),5
TPM1(INDUCES),5
PIK3R4(INDUCES),5
ATG4B(DISRUPTS),5
SP1(DISRUPTS),5
HRas(INDUCES),5
DYNC1I1(INDUCES),5
dynactin 1(INDUCES),5
N-CoR1(DISRUPTS),5
INSR(INDUCES),5
SQSTM1(DISRUPTS),5
Src(NOT_REPORTED),5
CDH2(DISRUPTS),5
SHC1(NOT_REPORTED),5
SHIP-2(INDUCES),5
AHSA1(INDUCES),5
FBXW7(DISRUPTS),5
PAFAH1B1(INDUCES),5
HSP70(DISRUPTS),5
Ezrin(DISRUPTS),5
NFkB-p100(DISRUPTS),5
TEAD4(DISRUPTS),5
PPP2R2C(DISRUPTS),5
NEDD4(INDUCES),5
SKP2(DISRUPTS),5
PPP2R3B(INDUCES),5
AurB(DISRUPTS),5
PPP2R5C(DISRUPTS),5
Cofilin-1(INDUCES),5
CASP8(INDUCES),5
VANGL1(INDUCES),5
PPP2R3A(INDUCES),5
MYD88(DISRUPTS),5
SMAD3(DISRUPTS),5
CDC37(DISRUPTS),5
ZO1(INDUCES),5
NFkB-p105(INDUCES),5
53BP1(INDUCES),5
NPM1(DISRUPTS),5
NPM-ALK(DISRUPTS),5
VASP(DISRUPTS),5
PRMT5(DISRUPTS),5
GAB1(INDUCES),5
Bcl-xL(DISRUPTS),5
DNAPK(INDUCES),5
SUMO3(INDUCES),5
NCL(INDUCES),5
Raptor(INDUCES),5
BAX(INDUCES),5
RAD51(INDUCES),5
MEK1(INDUCES),5
RAMP(DISRUPTS),5
JNK1(DISRUPTS),5
Akt1(DISRUPTS),5
Abl(INDUCES),5
SH2-B-beta(INDUCES),5
BICD2(INDUCES),5
PICK1(DISRUPTS),5
Mad2(INDUCES),5
DGCR8(DISRUPTS),5
PPP1CA(INDUCES),5
CPSF6(DISRUPTS),4
FLNA(INDUCES),4
HOPX(INDUCES),4
CTK(INDUCES),4
GluR2(INDUCES),4
CLTC(DISRUPTS),4
IQGAP1(INDUCES),4
THOC4(DISRUPTS),4
RNF41(INDUCES),4
Mrf-2(INDUCES),4
BAF(INDUCES),4
PKCG(DISRUPTS),4
CDC20(DISRUPTS),4
PARK2(INDUCES),4
TEC(INDUCES),4
ATG101(DISRUPTS),4
ANK3(INDUCES),4
TFDP1(DISRUPTS),4
RAP1GDS1(DISRUPTS),4
RCOR1(DISRUPTS),4
Ku70(INDUCES),4
GRP78(INDUCES),4
ITCH(INDUCES),4
ITGAM(INDUCES),4
LSD1(DISRUPTS),4
HSP90A(DISRUPTS),4
Rb(INDUCES),4
HER2(INDUCES),4
RNF4(DISRUPTS),4
SRC-2(INDUCES),4
GULP1(INDUCES),4
Oct4(DISRUPTS),4
BRD4(DISRUPTS),4
MST1(INDUCES),4
VCP(DISRUPTS),4
PGC-1 alpha(INDUCES),4
MBD3(DISRUPTS),4
PRB1(INDUCES),4
ZAP70(INDUCES),4
CFIM25(DISRUPTS),4
PPP1R13L(DISRUPTS),4
RICTOR(INDUCES),4
PAK1(INDUCES),4
CDC25A(INDUCES),4
HUWE1(DISRUPTS),4
Fe65(INDUCES),4
CCND1(DISRUPTS),4
ERK1(DISRUPTS),4
kindlin-2(DISRUPTS),4
HIPK2(DISRUPTS),4
TGFBR1(DISRUPTS),4
DEPDC5(INDUCES),4
AR(DISRUPTS),4
PSD-95(INDUCES),4
NPRL2(INDUCES),4
SRC-3(INDUCES),4
ADRB2(INDUCES),4
leupaxin(NOT_REPORTED),4
TUBA4A(DISRUPTS),4
LRP6(DISRUPTS),4
SMURF1(INDUCES),4
SIRT1(INDUCES),4
INCENP(INDUCES),4
KEAP1(INDUCES),4
NPRL3(INDUCES),4
CDK1(DISRUPTS),4
TOPBP1(DISRUPTS),4
SHC2(INDUCES),4
TBL1XR1(INDUCES),4
TBL1X(INDUCES),4
GPS2(INDUCES),4
14-3-3 epsilon(DISRUPTS),4
PDK1(INDUCES),4
RAB5A(INDUCES),4
TNF-R1(DISRUPTS),4
IGF1R(INDUCES),4
ZW10(INDUCES),4
VCP(INDUCES),4
GTF2H1(INDUCES),4
PTEN(INDUCES),4
CD45(INDUCES),4
VAPA(INDUCES),4
SHC3(INDUCES),4
ELF4(DISRUPTS),4
IGF1(INDUCES),4
p73(DISRUPTS),4
RHOG(INDUCES),4
NMDAR2B(DISRUPTS),4
KHDRBS1(INDUCES),4
FNIP2(INDUCES),4
SUZ12(DISRUPTS),4
SEC62(INDUCES),4
SETD2(INDUCES),4
USP7(DISRUPTS),4
C16orf82(INDUCES),4
MSH2(INDUCES),4
RIF1(INDUCES),4
FBXW2(INDUCES),4
GIT1(INDUCES),4
TRAF6(DISRUPTS),4
HDAC5(DISRUPTS),4
C/EBP-epsilon(INDUCES),4
rubicon(INDUCES),4
MSH6(INDUCES),4
RFC1(INDUCES),4
RAN(INDUCES),4
SKP1A(DISRUPTS),4
RAD17(DISRUPTS),4
CDC42 iso1(DISRUPTS),4
RAP80(INDUCES),4
Bcl-xL(INDUCES),4
TNC(INDUCES),4
DOK2(INDUCES),4
GABARAPL2(INDUCES),4
CDC20(INDUCES),4
Met(INDUCES),4
CLASP1(INDUCES),3
HuR(INDUCES),3
CLTC(INDUCES),3
EZH2(DISRUPTS),3
TRIM25(DISRUPTS),3
MYO10(INDUCES),3
STX17(DISRUPTS),3
S100A10(DISRUPTS),3
APC(DISRUPTS),3
LEPR(INDUCES),3
TUBB(INDUCES),3
DVL2(INDUCES),3
GABARAP(DISRUPTS),3
Plectin-1(DISRUPTS),3
Restin(INDUCES),3
TUBB2B(DISRUPTS),3
USP5(DISRUPTS),3
NHERF(INDUCES),3
Huntingtin(DISRUPTS),3
SCN2A(INDUCES),3
ARRB2(DISRUPTS),3
PPP2R5A(INDUCES),3
PPP3CA(DISRUPTS),3
FOXO3A(INDUCES),3
AP2M1(INDUCES),3
SLC7A11(INDUCES),3
TAP(DISRUPTS),3
FBXL17(DISRUPTS),3
PIK3C3(DISRUPTS),3
SF3A1(INDUCES),3
HP1 alpha(DISRUPTS),3
LARP7(DISRUPTS),3
TCF4(DISRUPTS),3
MCM3(INDUCES),3
Pyk2(INDUCES),3
AP1M1(INDUCES),3
CTNNA1(DISRUPTS),3
AurB(INDUCES),3
P130Cas(DISRUPTS),3
AP2A1(DISRUPTS),3
Abl iso2(INDUCES),3
RACK1(INDUCES),3
APAF(DISRUPTS),3
SH3BGRL3(INDUCES),3
DCP1A(INDUCES),3
WRN(DISRUPTS),3
Ig-alpha(INDUCES),3
CISH(INDUCES),3
DDB1(INDUCES),3
NFkB-p100(INDUCES),3
USP9X(INDUCES),3
KRas(INDUCES),3
IQGAP1(DISRUPTS),3
PKM(DISRUPTS),3
APTX(INDUCES),3
ENaC-alpha(INDUCES),3
GTF2F1(INDUCES),3
NOXA1(INDUCES),3
CASP9(INDUCES),3
AHSA1(DISRUPTS),3
MCM2(DISRUPTS),3
BCLAF1(INDUCES),3
BID(INDUCES),3
POLR2F(INDUCES),3
SH3KBP1(INDUCES),3
RBPJ(INDUCES),3
p90RSK(INDUCES),3
DAXX(INDUCES),3
SOCS1(INDUCES),3
Cbl-c(INDUCES),3
UPF3B(DISRUPTS),3
SMG7(INDUCES),3
MUS81(INDUCES),3
ARRB1(DISRUPTS),3
LIMK1(INDUCES),3
UBC9(INDUCES),3
EGLN1(DISRUPTS),3
BAK1(DISRUPTS),3
BLM(DISRUPTS),3
XRCC1(INDUCES),3
ID2(DISRUPTS),3
PPP3CA(INDUCES),3
RND1(DISRUPTS),3
FAK(DISRUPTS),3
Abl iso2(DISRUPTS),3
SERCA2(DISRUPTS),3
G-alpha i3(INDUCES),3
SETDB1(DISRUPTS),3
MCL1(DISRUPTS),3
14-3-3 eta(DISRUPTS),3
FHOD1(DISRUPTS),3
STIL(INDUCES),3
ADD3(DISRUPTS),3
P38A(DISRUPTS),3
RhoGDI alpha(INDUCES),3
MYH10(INDUCES),3
LAMP2(INDUCES),3
UBE2D2(DISRUPTS),3
BRCA1(DISRUPTS),3
FABP4(INDUCES),3
RAB11A(INDUCES),3
Huntingtin(INDUCES),3
GRK2(DISRUPTS),3
GRIP1(INDUCES),3
DNAJC7(DISRUPTS),3
ICAM1(INDUCES),3
UBE2D1(INDUCES),3
G-alpha(s)(DISRUPTS),3
PCNA(INDUCES),3
ZO2(DISRUPTS),3
occludin(INDUCES),3
SNAP-25(INDUCES),3
LRP5(DISRUPTS),3
GRK2(INDUCES),3
Mad1(DISRUPTS),3
PRC1(INDUCES),3
eIF2-alpha(INDUCES),3
eIF2-beta(INDUCES),3
RIGI(DISRUPTS),3
ASK1(DISRUPTS),3
SRC-1(DISRUPTS),3
ORAI1(INDUCES),3
TAB2(INDUCES),3
TAK1(INDUCES),3
MOB1B(NOT_REPORTED),3
SNCA(INDUCES),3
BAF(DISRUPTS),3
IKKB(DISRUPTS),3
ALDH1B1(DISRUPTS),3
53BP1(DISRUPTS),3
PAK1(DISRUPTS),3
LC8(DISRUPTS),3
ALDH1A1(DISRUPTS),3
GRB2(NOT_REPORTED),3
PRKD1(DISRUPTS),3
OIP5(DISRUPTS),3
ATG14(INDUCES),3
RXRA(INDUCES),3
LRCH1(DISRUPTS),3
CD3G(DISRUPTS),3
HDAC7(INDUCES),3
HER2(DISRUPTS),3
SHC1(DISRUPTS),3
RASSF6(INDUCES),3
Alix(DISRUPTS),3
HMGB1(INDUCES),3
ROCK1(DISRUPTS),3
ROCK1(INDUCES),3
TRAIL-R1(DISRUPTS),3
MOAP1(DISRUPTS),3
AGO2(DISRUPTS),3
MOB1A(DISRUPTS),3
HCCA2(INDUCES),3
SUV39H1(INDUCES),3
GINS4(INDUCES),3
SP1(INDUCES),3
HSF1(DISRUPTS),3
hnRNP D0(DISRUPTS),3
PKCA(INDUCES),3
HSP27(DISRUPTS),3
ARP2(INDUCES),3
CCTA(INDUCES),3
DLC1(INDUCES),3
AIP1(DISRUPTS),3
WDHD1(INDUCES),3
DRP1(DISRUPTS),3
PTHR(INDUCES),3
RHOT2(DISRUPTS),3
MFN2(DISRUPTS),3
DBC1(DISRUPTS),3
IKKG(DISRUPTS),3
KPNA5(DISRUPTS),3
ATG14(DISRUPTS),3
HIF1A(INDUCES),3
NEK2(DISRUPTS),3
CCNB1(INDUCES),3
G-gamma 2(INDUCES),3
TEAD1(DISRUPTS),3
p73(INDUCES),3
TEAD1(INDUCES),3
Bcl-10(INDUCES),3
osterix(INDUCES),3
TLR4(DISRUPTS),3
p21Cip1(INDUCES),3
KIF5B(INDUCES),3
RNF8(INDUCES),3
GAB1(DISRUPTS),3
UBXN6(INDUCES),3
STAT3(DISRUPTS),3
PPM1D(DISRUPTS),3
BRAF(NOT_REPORTED),3
KLHL2(DISRUPTS),3
FBXO4(INDUCES),3
CASP2(DISRUPTS),3
GEMIN3(INDUCES),3
CASP3(INDUCES),3
CRYAB(DISRUPTS),3
CASP7(INDUCES),3
EED(DISRUPTS),3
ATP2A1(DISRUPTS),3
ACTN1(DISRUPTS),3
SIAH1(INDUCES),3
BLM(INDUCES),3
FRS2(INDUCES),3
TRIP12(INDUCES),3
XPC(DISRUPTS),3
PPAR-gamma(INDUCES),3
AMPKA2(INDUCES),3
FBXO3(INDUCES),3
CDK2(INDUCES),3
kindlin-3(INDUCES),3
KPNA5(INDUCES),3
NUP153(DISRUPTS),3
G-beta 1(INDUCES),3
SIAH2(INDUCES),3
MAVS(DISRUPTS),3
EBNA1BP2(INDUCES),3
Merlin(INDUCES),3
YAP1(DISRUPTS),3
ITGB1(INDUCES),3
Tau(INDUCES),3
SHB(INDUCES),3
VTA1(DISRUPTS),3
KLHL20(INDUCES),3
EGR2(DISRUPTS),3
PAX3(DISRUPTS),3
UBC9(DISRUPTS),3
MYD88(INDUCES),3
SELPLG(INDUCES),3
SP1(NOT_REPORTED),3
RHOC(DISRUPTS),3
SERCA2(INDUCES),3
Rab7(INDUCES),3
CBFB(INDUCES),3
TIF1G(INDUCES),3
TUBA1B(DISRUPTS),3
ER-beta(INDUCES),3
PIK3R1(DISRUPTS),3
CAF-1A(INDUCES),3
SAS6(INDUCES),3
MCM5(INDUCES),2
PRKD2(DISRUPTS),2
TFB1M(INDUCES),2
NOX1(DISRUPTS),2
LEMD2(DISRUPTS),2
SAP30(INDUCES),2
CDKN3(INDUCES),2
BUB1B(DISRUPTS),2
DUSP23(INDUCES),2
MALT1(DISRUPTS),2
PRKD3(DISRUPTS),2
Btk(DISRUPTS),2
FBXO42(INDUCES),2
BAK1(INDUCES),2
RASSF1(DISRUPTS),2
HERC5(INDUCES),2
Ron(INDUCES),2
PAK4(INDUCES),2
GSK3B(DISRUPTS),2
ANK1(DISRUPTS),2
JNK2(INDUCES),2
MST2(DISRUPTS),2
PIK3R2(DISRUPTS),2
NRas(DISRUPTS),2
DDB1(DISRUPTS),2
UBE4B(INDUCES),2
GPS2(DISRUPTS),2
GR(DISRUPTS),2
Bcl-3(INDUCES),2
IP3R1(INDUCES),2
NHE3(INDUCES),2
SFI1(DISRUPTS),2
TBL1X(DISRUPTS),2
U2AF1(INDUCES),2
N4BP1(INDUCES),2
TBL1XR1(DISRUPTS),2
CDT1(DISRUPTS),2
RAE1(INDUCES),2
PTP-PEST(INDUCES),2
ATPIF1(DISRUPTS),2
SDHB(INDUCES),2
RIPK3(DISRUPTS),2
UBE2A(INDUCES),2
CD44(DISRUPTS),2
RAI17(INDUCES),2
UBE2M(DISRUPTS),2
RIPK1(INDUCES),2
IRAK1(DISRUPTS),2
PGK1(INDUCES),2
BRD8 iso2(INDUCES),2
MKL1(INDUCES),2
HSP40(DISRUPTS),2
TCEB1(DISRUPTS),2
PXR(INDUCES),2
CACYBP(INDUCES),2
DACH1(INDUCES),2
CUL4A(DISRUPTS),2
VPRBP(DISRUPTS),2
CHMP7(DISRUPTS),2
FOXO1A(INDUCES),2
DROSHA(INDUCES),2
CDK9(DISRUPTS),2
CTNNG(DISRUPTS),2
E4(INDUCES),2
Tau iso8(NOT_REPORTED),2
ELF3(INDUCES),2
MYO5A(DISRUPTS),2
TSN(INDUCES),2
AP2M1(DISRUPTS),2
CCNT1(INDUCES),2
SRF(DISRUPTS),2
DDB2(INDUCES),2
MIS12(INDUCES),2
TNRC6A(INDUCES),2
RKHD4(INDUCES),2
SYN1(INDUCES),2
Tau iso3(DISRUPTS),2
FAT10(INDUCES),2
HSP20(DISRUPTS),2
SLP76(DISRUPTS),2
FBXL7(INDUCES),2
CD45(DISRUPTS),2
DICER1(DISRUPTS),2
CENPC1(INDUCES),2
GTF2B(INDUCES),2
STAT2(INDUCES),2
KIF22(INDUCES),2
RhoGDI beta(INDUCES),2
NuMA-1(DISRUPTS),2
TPX2(DISRUPTS),2
CASP3(DISRUPTS),2
USP15(INDUCES),2
RARB(DISRUPTS),2
TSC2(DISRUPTS),2
ECSIT(INDUCES),2
PARD6G(INDUCES),2
ARHGEF17(INDUCES),2
SUZ12(INDUCES),2
TWIST1(INDUCES),2
PAG(INDUCES),2
SLC25A5(DISRUPTS),2
GPR89A(INDUCES),2
CK1A(INDUCES),2
UBE2G2(INDUCES),2
CCNT1(DISRUPTS),2
cIAP1(DISRUPTS),2
YB-1(INDUCES),2
CRLS1(INDUCES),2
IPO7(INDUCES),2
MAGE-A6(DISRUPTS),2
NMDAR2B(INDUCES),2
Stargazin(INDUCES),2
fascin(INDUCES),2
Abi-2(DISRUPTS),2
HPK1(INDUCES),2
RECK(DISRUPTS),2
KIFC1(DISRUPTS),2
HOXA10(INDUCES),2
14-3-3 gamma(DISRUPTS),2
SIRT1(DISRUPTS),2
AKAP9(DISRUPTS),2
CDC6(INDUCES),2
Brk(INDUCES),2
HIF2A(DISRUPTS),2
RNF168(INDUCES),2
STEP(INDUCES),2
ETEA(INDUCES),2
PKR(INDUCES),2
BMI1(INDUCES),2
RPL13A(INDUCES),2
PPP1R2(INDUCES),2
NEDD1(DISRUPTS),2
STIL(DISRUPTS),2
SIAH1(DISRUPTS),2
KIF1A(INDUCES),2
Cortactin(INDUCES),2
PGC-1 alpha(DISRUPTS),2
ENaC-beta(DISRUPTS),2
TBN(INDUCES),2
RPL11(DISRUPTS),2
ATF-4(DISRUPTS),2
E7(DISRUPTS),2
Met(DISRUPTS),2
LEF-1(DISRUPTS),2
CEACAM1(INDUCES),2
FGF13(DISRUPTS),2
FOG1(INDUCES),2
GKAP1(DISRUPTS),2
Mnk1(INDUCES),2
Oct4(INDUCES),2
TRBP(DISRUPTS),2
CCZ1(DISRUPTS),2
TRIM24(DISRUPTS),2
TDP-43(INDUCES),2
Cortactin(DISRUPTS),2
MFN2(INDUCES),2
ARPC3(INDUCES),2
LIFR(INDUCES),2
Mad2(DISRUPTS),2
ARIH1(INDUCES),2
LAMP1(INDUCES),2
DDX31(INDUCES),2
ASH2L(INDUCES),2
CK1A(DISRUPTS),2
NCBP1(DISRUPTS),2
SH2D1B(INDUCES),2
PKN1(DISRUPTS),2
APCS(INDUCES),2
MEIS1(INDUCES),2
IKKA(DISRUPTS),2
PI4K2A(INDUCES),2
TNNI1(INDUCES),2
RBBP7(INDUCES),2
USP7(INDUCES),2
PIAS1(DISRUPTS),2
LATS2(DISRUPTS),2
BIM(INDUCES),2
MCL1(INDUCES),2
PRP4(INDUCES),2
KIF2A(DISRUPTS),2
EFTUD2(INDUCES),2
desmin(INDUCES),2
RPL22(DISRUPTS),2
Tip60(INDUCES),2
KPNA2(INDUCES),2
MYO1C(INDUCES),2
TNNT1(INDUCES),2
PR(INDUCES),2
FBXL20(INDUCES),2
MPC1(INDUCES),2
PACT(INDUCES),2
MYO18A(INDUCES),2
STRAD(DISRUPTS),2
SOCS2(INDUCES),2
STRAD(INDUCES),2
DAZ1(DISRUPTS),2
Jun(DISRUPTS),2
BET1(DISRUPTS),2
UCHL3(INDUCES),2
SCAP(INDUCES),2
RAB3IP(DISRUPTS),2
ATG5(INDUCES),2
EIF4B(INDUCES),2
CDC25C(INDUCES),2
ITK(INDUCES),2
EPB41L1(INDUCES),2
CBY1(DISRUPTS),2
SHP-1(DISRUPTS),2
OTUB1(INDUCES),2
PIK3C2A(DISRUPTS),2
SIP1(DISRUPTS),2
GEMIN8(DISRUPTS),2
NRF2(INDUCES),2
ATP5A1(INDUCES),2
ERH(NOT_REPORTED),2
GTF2F2(INDUCES),2
NPL4(DISRUPTS),2
RAB10(INDUCES),2
Chk1(INDUCES),2
NLRP3(DISRUPTS),2
PLK1(NOT_REPORTED),2
DBN1(DISRUPTS),2
NKCC2(DISRUPTS),2
EPS15(INDUCES),2
G3BP-1(DISRUPTS),2
DDEFL1(INDUCES),2
SPT6(DISRUPTS),2
KPNA3(DISRUPTS),2
TICAM1(INDUCES),2
WDR23(INDUCES),2
CUL4A(INDUCES),2
CLN3(INDUCES),2
GRIP1(DISRUPTS),2
